chr1	4414660	4415069	6	8	6	6	12	8	10	12
chr1	4775042	4775798	9	13	3	21	14	23	9	16
chr1	4780113	4780434	7	8	7	14	4	6	7	8
chr1	4785444	4786067	43	50	43	71	34	48	28	34
chr1	4807461	4808310	60	80	66	78	46	75	38	58
chr1	4857396	4858717	114	142	141	152	111	127	74	104
chr1	4867502	4867971	5	35	35	38	3	23	16	24
chr1	4870541	4870873	2	14	9	20	10	6	8	7
chr1	4873356	4873726	6	9	13	15	2	7	2	4
chr1	4906852	4907562	38	37	36	43	30	31	13	39
chr1	4918575	4919048	13	15	12	12	10	18	6	13
chr1	4919260	4919481	4	3	4	12	2	6	2	2
chr1	5019190	5019611	13	15	16	16	9	19	8	18
chr1	5082826	5083606	50	63	66	77	44	57	41	50
chr1	5098301	5098544	7	4	1	8	2	3	6	4
chr1	5106533	5106994	26	14	15	16	23	25	12	22
chr1	5127621	5127867	1	0	1	0	0	1	1	3
chr1	5508394	5508922	10	14	11	17	13	8	10	12
chr1	6204782	6205098	12	7	9	7	13	10	3	9
chr1	6214172	6215622	107	134	122	143	99	105	48	102
chr1	6272067	6272611	11	9	13	13	8	10	8	8
chr1	6382662	6383258	16	9	18	12	12	18	9	15
chr1	6388975	6389175	1	5	2	2	1	1	0	5
chr1	6406256	6406871	28	38	44	50	20	34	17	26
chr1	6410052	6410455	15	29	28	29	17	20	8	12
chr1	6441295	6441518	2	1	1	5	4	4	3	3
chr1	6445314	6445712	4	9	14	9	3	9	9	7
chr1	6453630	6453932	9	10	9	10	6	7	2	6
chr1	6454007	6454656	24	24	37	36	25	34	15	33
chr1	6464847	6465416	11	21	15	18	15	19	7	7
chr1	6467043	6467380	12	8	9	10	10	6	3	6
chr1	6470847	6471051	3	3	2	5	3	5	1	3
chr1	6476432	6476886	7	23	22	24	4	20	8	19
chr1	6481301	6481647	14	11	16	15	8	8	5	9
chr1	6492806	6493286	17	12	13	13	7	10	3	10
chr1	6496627	6496933	7	8	6	9	6	9	3	4
chr1	6498879	6499261	10	14	11	20	13	11	5	11
chr1	6623929	6624979	36	31	39	65	24	51	24	33
chr1	6859038	6859425	5	9	8	1	6	4	8	10
chr1	7077893	7078197	11	4	3	2	4	3	2	4
chr1	7086080	7086346	17	12	13	16	8	11	8	8
chr1	7088457	7089450	156	180	182	218	160	180	114	172
chr1	7100537	7100932	5	6	16	27	7	6	2	8
chr1	7112863	7113317	21	14	22	25	17	12	14	15
chr1	7113997	7114215	8	11	5	14	9	8	9	6
chr1	7140611	7140811	2	0	3	3	1	2	2	2
chr1	7204825	7205100	4	2	3	9	3	7	2	3
chr1	7395532	7395814	21	19	24	28	21	30	10	17
chr1	7397377	7398482	197	223	208	273	194	221	111	175
chr1	7823951	7824401	21	22	34	34	13	15	10	24
chr1	9529729	9530136	4	8	7	18	1	12	12	15
chr1	9545046	9546147	126	144	127	162	98	133	77	124
chr1	9547867	9548259	6	37	51	44	13	42	27	35
chr1	9553839	9554205	3	14	6	9	2	15	8	6
chr1	9573182	9573597	7	7	8	9	7	8	5	7
chr1	9593721	9594102	8	4	6	4	3	4	2	3
chr1	9602419	9602619	7	2	3	4	3	3	3	4
chr1	9700142	9700962	95	117	118	126	86	103	58	95
chr1	9747717	9748796	120	138	145	178	114	141	74	120
chr1	9769605	9769940	13	11	11	13	8	9	10	6
chr1	9772811	9773447	16	14	14	27	15	14	8	13
chr1	9782419	9782772	3	2	3	7	2	7	3	4
chr1	9797148	9797723	14	10	11	23	4	10	3	7
chr1	9797890	9798426	15	11	15	24	13	19	7	14
chr1	9798915	9799304	15	9	5	10	11	6	7	7
chr1	9804585	9804961	5	7	3	8	4	6	3	2
chr1	9805867	9806281	7	13	13	15	10	10	8	8
chr1	9812935	9813255	14	10	8	5	9	3	5	5
chr1	9815736	9816147	12	18	12	17	18	13	8	11
chr1	9823148	9823348	0	5	4	2	1	1	2	3
chr1	9823609	9823881	1	8	3	4	4	1	1	1
chr1	9825880	9826228	10	9	6	6	4	7	6	3
chr1	9850003	9850336	4	3	2	7	4	9	4	4
chr1	9858925	9859438	19	24	25	32	15	11	9	10
chr1	9876701	9877355	42	60	53	71	24	55	23	40
chr1	9892989	9893526	26	28	27	32	14	29	12	19
